	x
Acarbose.F.1	1.01423339033624
Acarbose.F.2	0.923937257749857
Acarbose.F.3	1.02786967260393
Acarbose.M.1	0.886929261079156
Acarbose.M.2	0.935853054109893
Acarbose.M.3	0.917833122330933
CR.F.1	1.08991448974923
CR.F.2	0.895743122540734
CR.F.3	0.910261351771646
CR.M.1	0.88517870169937
CR.M.2	0.839764394375432
CR.M.3	0.97161793168868
Control.F.1	1.13542726564757
Control.F.2	1.02995677524461
Control.F.3	1.05763378092278
Control.M.1	0.965631708599537
Control.M.2	0.930904013088853
Control.M.3	0.91635244879289
GHRKO.M.1	0.881847173456924
GHRKO.M.2	1.02602859615376
GHRKO.M.3	0.936778113440004
GHRKOControl.M.1	0.989272094227499
GHRKOControl.M.2	0.937022993167195
GHRKOControl.M.3	0.94587780926534
Rapamycin.F.1	0.916349433056865
Rapamycin.F.2	0.852838145184418
Rapamycin.F.3	0.995694727115999
Rapamycin.M.1	0.857735419015745
Rapamycin.M.2	0.833146156481347
Rapamycin.M.3	0.827227928857324
SnellDwarfMice.M.1	1.0368480409129
SnellDwarfMice.M.2	0.972780403619125
SnellDwarfMice.M.3	0.944725617528235
SnellDwarfMiceControl.M.1	0.859070788589397
SnellDwarfMiceControl.M.2	0.849014697035937
SnellDwarfMiceControl.M.3	0.886369516473096
Acarbose.F.4	1.17172378143384
Acarbose.F.5	1.0814901238503
Acarbose.F.6	1.14898424675501
Acarbose.M.4	0.969731689282071
Acarbose.M.5	0.924971851997739
Acarbose.M.6	0.949068885428345
CR.F.4	1.03503906925478
CR.F.5	1.05619805729856
CR.F.6	1.03115833824498
CR.M.4	1.06206481701294
CR.M.5	0.962997102117446
CR.M.6	0.938775698909817
Rapamycin.F.4	1.16048332046781
Rapamycin.F.5	1.10252863131373
Rapamycin.F.6	1.06430001530857
Rapamycin.M.4	0.968553757297245
Rapamycin.M.5	1.19175521627113
Rapamycin.M.6	0.984711488381376
Protandim.F.1	1.07119344904603
Protandim.F.2	0.998455168597887
Protandim.F.3	1.05128952725546
Protandim.M.1	0.897584317043523
Protandim.M.2	0.95664282476578
Protandim.M.3	0.871826312399674
alphaestradiol.F.1	1.14627863256017
alphaestradiol.F.2	1.07852365556377
alphaestradiol.F.3	1.12852195866779
alphaestradiol.M.1	1.02073472262197
alphaestradiol.M.2	1.10599653875476
alphaestradiol.M.3	1.03446363971307
MRControl.M.1	1.15600292056358
MRControl.M.2	1.13902762491631
MRControl.M.3	1.15631555630091
MethionineRestriction.M.1	1.26495356481234
MethionineRestriction.M.2	1.26922429026033
MethionineRestriction.M.3	1.21622434612502
Control.F.4	1.09383179080091
Control.F.5	1.10412895359659
Control.F.6	0.979506641751878
Control.M.4	1.01960182345596
Control.M.5	0.948697455693645
Control.M.6	1.02147618618997
