V1,MRControl.M-MethionineRestriction.M_logFC,MRControl.M-MethionineRestriction.M_logCPM,MRControl.M-MethionineRestriction.M_LR,MRControl.M-MethionineRestriction.M_PValue,MRControl.M-MethionineRestriction.M_FDR
Sox9,1.68900302135395,2.41834940255378,17.2343253461618,3.30412272208166e-05,0.0019857032268871
Sult5a1,2.08257554506018,4.09101042023343,9.7003040065724,0.0018423752981872,0.0464545922978265
Pcbp3,-2.23017525084656,-0.3112028903613,30.4153200194738,3.48762874992631e-08,5.77792970441582e-06
Sgca,4.23379421592709,-2.72917973776437,4.69640450379155,0.0302257860319208,0.259117965974788
Smo,2.27788842440376,3.68900379362399,62.0960350312276,3.2710937143410603e-15,4.02243877826586e-12
Gria3,4.20628556652823,-1.13599679059586,24.9987744122304,5.7366768095774e-07,6.36850801929892e-05
Hsf2bp,2.24995917973342,-0.48631973072955,6.87441982963006,0.0087438137510666,0.124579863301739
Mybpc3,5.18660826239309,-1.52482577382085,13.7075948894597,0.0002135889814587,0.008891753795831
Shh,2.05059048366274,-1.56710830684669,5.26467148127402,0.0217625298377491,0.215282055684565
Car11,-1.83612732273954,0.495995852926876,25.2782285684545,4.96278951474949e-07,5.58698261850601e-05
Gstm3,-2.53848017564051,5.83783601948952,23.0729049698148,1.55973254914905e-06,0.0001619083411084
Gpx6,2.778496722393,-0.262261140614823,8.39037597214009,0.003772128771624,0.0744459883249168
Matk,1.510880164086,-0.876808347101969,8.72594687444621,0.0031371310462623,0.0655557868046393
Cyp2a5,-2.11306489975609,10.74799299718,17.4542967746554,2.94298336629074e-05,0.0018164684205993
Mthfd2,-2.31293585160266,0.606689349130227,31.6383674722379,1.85723748683685e-08,3.41262051316941e-06
Slc4a1,-2.9086489664444,-1.5296730255015,8.07840990147236,0.0044795734848741,0.0821220891389885
Sulf2,2.53875515291452,4.674007183757,64.5938812989811,9.20407356869798e-16,1.3376029097200499e-12
Tcap,6.86769398148733,0.991922006583594,8.99560393532551,0.0027062982308922,0.0595907486488206
Clstn3,1.57505993881782,3.56230228918913,10.1830083753114,0.0014174073476,0.0383395496763691
Bmp7,2.65964241640178,0.680161181293919,20.513271895408,5.92192133768483e-06,0.0004829991556338
Slc5a1,-2.48471026143112,0.446331074578263,40.2488255988099,2.2358971266556101e-10,8.93576286667916e-08
Mogat1,2.55696583473571,0.106496150395278,8.07919432009344,0.0044776348550466,0.0821220891389885
Myl2,8.77292161113014,-0.711334419473353,8.81461941116537,0.0029882653361626,0.0638884964640644
Kif1a,1.68737096045258,-1.17738159261325,4.03864414374029,0.0444695360139815,0.314848582190827
Ptgds,-3.24169887283582,1.8599265419339,30.9487040506254,2.64938933256023e-08,4.70590420781199e-06
Clic3,-1.82491562838379,0.330859170696566,6.951845595912,0.0083732805712151,0.121797327762917
Gadd45b,-2.20385987140044,2.7416627267814,15.1730006968238,9.80960350660965e-05,0.0047520097471715
C4a,3.01697597323145,7.8646761268036,22.9595574222534,1.65445599450848e-06,0.0001695393174885
Eef1a2,3.74925302855735,0.404561598140155,4.39331426107887,0.0360801116670862,0.284126436014798
Mpped2,6.33302886691522,-1.17798956886401,29.0090247774505,7.20418922493252e-08,1.07631933597917e-05
Cntnap1,2.9206701338502,2.20214604606883,23.5820004672035,1.19702013744353e-06,0.0001292943507917
Wfdc2,2.987643363847,1.74616691841017,26.3678240240129,2.82202603615434e-07,3.44373345144758e-05
Wfdc15b,3.30566138255307,-1.02534864746733,8.53692488543717,0.0034801309238138,0.0706041012149672
Dnah11,-3.12384303565313,-1.00022206284941,18.4213890821529,1.77059326192207e-05,0.0011892732724826
Dusp14,1.68863271472821,-0.207814173078859,6.62980725010986,0.0100286115851812,0.135018753182876
Pnpla5,6.4002491329583,-1.46193270997062,9.67311388628586,0.0018698412775661,0.0467782201301613
Mb,7.90089941488417,0.405596839087326,5.95045846694565,0.0147134589679324,0.170936608140355
Etnppl,-2.06776665460217,7.46018474974286,30.8212490397223,2.82922853826581e-08,4.91609211007796e-06
Moxd1,6.984979630776,2.58265298350066,16.2104804015461,5.66796763565953e-05,0.0031133503955765
Wif1,4.79156504574157,-1.61528644913005,15.3343871948133,9.00621246852105e-05,0.0044712208857694
Aldh1l2,-4.65565445350156,-0.455377737128745,97.2738862204171,6.03713070969217e-23,3.21698571750463e-19
Shc2,3.3387644718767,-2.04679820694028,12.2872836495681,0.0004560550196138,0.0161004020065386
Adcy1,1.8219292144276,0.379068789863341,4.62946103132172,0.0314274346911577,0.26511819048699
Osbp2,-3.62983972491487,0.336531076886667,45.6216296585317,1.4344876514239198e-11,8.49322947987512e-09
Pfkp,-1.8192893396158,1.4322138018063,28.614951495876,8.8297765113515e-08,1.29497988358225e-05
Unc79,-2.07670796131252,1.18909729456452,14.4878866191757,0.0001410637397555,0.0064342072822281
Acot3,-2.01782955315002,5.25521428588413,7.0019141548527,0.0081422605549465,0.119524496998508
Ryr2,4.5574270476319,-2.32947156799433,6.59186994286426,0.010244550968479,0.136917922193192
Hapln1,3.54668403558368,-1.45336678921643,5.82211493274084,0.0158259044186589,0.178289575783426
Ckmt2,6.88727737262227,-0.805661271207456,5.63971362733196,0.0175580747696361,0.189394995457087
Cfap20dc,4.3011047412977,-1.84806690558881,33.3322250838758,7.768462327877011e-09,1.63403472070318e-06
Ldb3,4.6922150793138,-0.490457820918326,5.76260179721847,0.0163708128610898,0.180657787883941
Cryl1,-1.59820595452397,3.77022983625887,51.9560349538553,5.6757340987032e-13,5.04068251677052e-10
Anxa8,3.70075161288716,-1.50428902001515,16.5064064342272,4.8485970823107e-05,0.0027101284250985
Tsc22d1,1.84407938699653,6.22939396110238,10.5995026426219,0.0011311808459411,0.032172836221713
Scara5,7.72370526640805,2.07792398142309,50.080103786144,1.47595977529816e-12,1.1797346483958202e-09
Hr,1.73513183518944,0.277969036195019,5.36693397235261,0.0205220199210802,0.208031078286867
Dct,5.33562268475076,3.27394938514983,63.3280436713071,1.7499511966407e-15,2.33122665245818e-12
C6,2.56249250346778,6.00900751314412,51.4032445486245,7.52141298826733e-13,6.32827937002324e-10
Myc,-2.13648848259301,2.40344645185976,11.3043203647186,0.0007732694810807,0.0244298140801511
Tbc1d31,1.64857186206878,2.05727059053234,39.5343790725584,3.22334517554777e-10,1.17109990855243e-07
Gtse1,1.62113226742176,-0.454574139906359,8.36297027308797,0.0038294411014142,0.0750213792245206
Ttll8,1.75074647204433,0.111816749687024,5.76384827128368,0.0163592039330615,0.180657787883941
Fam83f,2.92968196816179,1.07192509794123,15.7830549637403,7.10358751614207e-05,0.003698956027135
Robo1,2.15618794518679,1.77344189016128,10.5599202355291,0.0011556618273632,0.032582733637087
Setd4,-1.97242702025026,3.67560038241469,26.250108901484,2.99937909105586e-07,3.63242985981962e-05
Cela1,1.51486394706398,4.51129930661463,20.8645875786405,4.92923818222847e-06,0.0004140898718858
Csad,-2.5155909096292,7.457882991502,17.7254332267819,2.55191776190602e-05,0.0016188475135646
Slc10a2,2.66095960176952,3.82011163239288,45.7967518314118,1.31180877819342e-11,8.06560581853847e-09
Cxcl13,-2.12522419944527,-0.0250515902203676,7.80462299438831,0.0052112737402147,0.0902129119955772
Cd4,1.7031066148649,0.319386709012466,9.18848360296538,0.0024354257098669,0.0560990135416894
Clic5,1.7831785788191,2.25817027372237,11.8392599094713,0.0005799487128926,0.0193955232725989
Cyp39a1,-2.46988006539178,4.30435013247077,15.5539732639274,8.01829561990142e-05,0.0040563441069539
Tff3,6.40926952255823,0.284098547095563,20.2416908103685,6.82492444346588e-06,0.0005455162107662
Cyp21a1,6.01819061508092,2.64825704779264,12.3655783091094,0.0004373220843587,0.0156749570416105
Lama3,1.56584129963231,2.08268162683805,15.6449421799702,7.64166829322498e-05,0.0038904366030412
Slc4a9,-4.44527529060587,1.36142148286057,31.610223473675,1.88434943640013e-08,3.42309205571505e-06
Cidea,8.81408915793487,-0.459034676033961,12.7031871321677,0.0003650328954913,0.0136341492227223
Psat1,-4.34642301054756,0.88149640656311,39.9733490386391,2.57451631322493e-10,9.79909947219374e-08
Fads3,1.51953895565438,3.78985978765365,20.0454010180099,7.56251828950821e-06,0.0005897288652491
Gna14,2.12139687581178,2.29360580816545,30.0349030558652,4.24339299266887e-08,6.78348803808045e-06
Vldlr,-2.84225843198371,3.59837374748156,21.8206327012349,2.99363547482779e-06,0.0002802554693378
