V1,Control.M.6-Rapamycin.M.6_logFC,Control.M.6-Rapamycin.M.6_logCPM,Control.M.6-Rapamycin.M.6_LR,Control.M.6-Rapamycin.M.6_PValue,Control.M.6-Rapamycin.M.6_FDR
Soat1,-1.98774259077624,1.97461315744249,17.6684516748666,2.62951914870884e-05,0.0155687011523183
Nr5a1,-8.67733097967585,-1.34482201032194,7.7016790863674,0.0055169480482214,0.376822379782487
Ak1,-2.50619618970467,-0.0685324124722503,4.63654587555369,0.0312979359640134,0.692157106513916
Adra1d,-3.83571873914038,-0.318321450317804,4.10751709168773,0.0426929964112095,0.745425627668344
Chgb,-10.6218089391824,0.867074304358428,32.2044519289156,1.38772415816394e-08,5.54603959810218e-05
Acss1,-1.89326199955034,-0.755886105117575,4.15641262907587,0.0414771627534871,0.742451361552588
Chrna4,-3.13561782500178,1.44198754803788,8.41843106417602,0.0037143617682866,0.308642311616881
Casq2,-5.34366531801086,-2.22286398600776,5.57580267949182,0.0182103160876054,0.591420261836837
Hsd3b6,-8.45861738033686,-0.811677660736609,36.6367210647457,1.4232522830738702e-09,7.58403699907294e-06
Hao2,-4.4417117695239,4.9136740790111,19.4831546657442,1.01490780386941e-05,0.0092695962272242
Hsd3b1,-8.83781890186836,2.46339971066196,16.5612947287857,4.71026013436943e-05,0.0230873269681839
Slc27a3,-2.59510751688369,0.158584416949834,18.9123159073525,1.3686621588369e-05,0.0115154911953508
Gask1b,-1.69200292568529,-1.5755079034878,5.43352245179243,0.0197537956897422,0.610207910732287
Nr4a3,-5.5710801746327,-1.71801603960164,15.4770468327449,8.35132532923545e-05,0.0350649427256737
Orm3,1.94237758080914,3.6080943088454,6.57249211163659,0.0103566831333001,0.511422724097229
Svep1,-1.55200617547286,-0.708519775282771,5.10705622519438,0.0238287185921011,0.642370818572223
Aqp7,-2.65320974908054,-1.76084822066597,4.067505625944,0.0437157836796269,0.747423013799483
Bnc2,-2.4712479764742,-2.20419754043508,5.25343550547926,0.0219034843427497,0.627812803486294
Sh3gl2,-3.81539164629326,-2.67555354975613,6.78876048199329,0.0091733581079626,0.477671995810721
Ttc39a,2.04987719409905,0.62040169564966,6.01493763809039,0.014185279802021,0.554048084642549
Pla2g2f,-6.72335555247357,-3.05686581601565,4.56281905650315,0.0326732505499659,0.694567265015631
Slc30a2,-3.91057253027428,-1.58824154206996,9.9985616956012,0.0015666253531838,0.192567320806696
Abcb1b,-4.3168532677482,1.6750535119891,30.410130844107,3.49697078419324e-08,9.31709582601887e-05
Bst1,-2.63566328681921,-1.10479975110031,7.34380727926475,0.0067294164822011,0.407486560168436
Pcolce,-1.52662682965619,2.6924416177516,17.0781707595936,3.5872267260358e-05,0.0197742780835891
Emp1,-1.73449810586292,0.219959458982182,8.9428840604422,0.0027855256987687,0.267209435006038
Tmc5,2.30727109360228,-0.349382915494058,4.5027819374285,0.0338397575992529,0.699821946936167
Serpina7,-1.76155665521738,5.46716550008316,11.704455297021,0.0006235063057414,0.118659188137896
Cdx4,4.42501398204712,-1.70474345922696,7.67272648410781,0.0056061683313354,0.376822379782487
Star,-6.52150096478938,3.26253394602717,47.662396017992,5.06310772684124e-12,8.09388401212841e-08
Gnao1,-1.73562656544039,-0.783383460988568,12.2001404057546,0.0004778591917335,0.103230500527742
Acta1,-4.98913131486978,4.25911382407819,5.97644402703003,0.0144982052491029,0.557014808277208
Acsbg1,-7.32903046597999,-1.01237980232559,18.1582529269583,2.0328652689162e-05,0.0131417054174663
Cyp11a1,-9.70349895206788,2.06218094538562,10.3841316806926,0.0012710294836587,0.170745187611503
Plod2,-3.30208528013548,-0.839967504230231,18.1374541252166,2.05518976252132e-05,0.0131417054174663
Rab6b,-3.21672366258531,-1.61426573775327,8.68460361117838,0.003209093651844,0.293146120676452
Pygm,-1.76378676682111,1.99168761155858,4.10793063127167,0.0426825577301114,0.745425627668344
Igdcc4,-3.65010494223139,-1.48108826940602,12.3333463306056,0.0004449380835515,0.0987886139396603
Ank2,-3.06550196403867,0.192440286901671,9.16222230230288,0.0024706235683437,0.253175566432971
Tmem35a,-4.9081620816514,-1.04502180615064,14.517439176484,0.0001388680419121,0.0482596634349311
Ndn,-1.71986302426732,0.218633324493631,16.7576188893799,4.24713806093456e-05,0.0226315830140333
BC034090,-1.91738848796602,-1.14214492733217,6.23596015919407,0.0125181703976634,0.541821264245182
Dnah17,-5.09906241635258,3.48021979802796,11.826552949061,0.0005839199325864,0.118196614232791
Tspoap1,-1.89576862465718,-1.55887428085679,7.87657392362344,0.0050079265947406,0.363894157016017
Scx,-1.74033530678255,-1.82484853824559,5.14960149927316,0.0232517086302893,0.637567434243232
Myo5a,-1.82867639482547,-0.420827346252417,9.63447419277314,0.0019095886436556,0.221207855488977
Chst11,-3.23401784252501,-1.3183940421272,9.99299798625795,0.0015713657021845,0.192567320806696
Ly6d,-2.41510734148113,0.990257557261342,7.75308556430255,0.0053620850677759,0.374814159708587
Dio1,2.24055074956575,5.96712634755934,4.10647613240758,0.0427192844786381,0.745425627668344
Pygo1,-1.77623717779406,-0.0125466693643695,6.6342718309041,0.0100035078563821,0.504467118587142
Parm1,-3.10363028831239,-0.875677451798683,12.2096328679933,0.0004754338938243,0.103230500527742
Rims4,-4.04280185994879,-1.27117355951663,15.5850192378985,7.88770562804837e-05,0.0350649427256737
Tnni3,-4.33161691412535,-1.30989259607579,11.8713457061452,0.0005700420858255,0.118196614232791
Wnt4,-1.75124559523972,1.07096864023639,11.8259569260514,0.0005841068762911,0.118196614232791
Scd1,-1.83728739856713,11.8522711183082,6.5503328918071,0.0104864537273241,0.51264969200307
Mgarp,-8.25554998149064,-1.08324993006843,10.7958900696315,0.0010172569003545,0.156497804299642
Serpine1,-1.69818220453464,1.00996916988886,6.88079089279911,0.0087127001290816,0.462728319812292
Ifi206,-3.48956309128334,-1.81062272035674,7.57886033276002,0.0059056766777758,0.376822379782487
Cpe,-3.83956496786544,0.583983346419479,13.5141620449401,0.0002367698318694,0.0718666266299556
Smim3,-1.57163475789804,-0.108351807397465,9.79941012329047,0.0017456785678543,0.205194246953815
Rbm24,-4.1741588759275,-1.95029604925036,5.27293081251751,0.0216595164018563,0.624998247653564
Hoxa7,-4.35918495444353,-2.75202435975782,4.80518545357936,0.0283742126484069,0.667447860265738
