V1,Control.M.6-Acarbose.M.6_logFC,Control.M.6-Acarbose.M.6_logCPM,Control.M.6-Acarbose.M.6_LR,Control.M.6-Acarbose.M.6_PValue,Control.M.6-Acarbose.M.6_FDR
Igfbp6,2.32448771988385,0.305600226442961,6.59246317075572,0.01024113788615,0.503554603820051
Cela3b,-8.44119378873203,-1.53353666821047,9.90472833617983,0.0016485466233267,0.317514052054238
Clps,-7.03962185307484,-2.05353461358281,6.08034141388105,0.0136694350225428,0.541167684486769
Spink1,-3.40798472358678,0.717872451644342,4.56680618089165,0.0325972840668074,0.645832444428499
Trpm6,-1.90143611978885,-0.0456694460371696,3.98734713804005,0.0458431884485687,0.674208370750461
Cyp2c39,-2.63316418183402,7.74616676028829,15.1505733645501,9.92681626081932e-05,0.099181302965911
Cbr2,3.88722323016387,-2.57614644244601,4.69624225096334,0.0302286398723151,0.641124233168472
Cox8b,5.03101785051617,-0.523424931086004,6.54733998090447,0.010504108416442,0.508844476197702
Clec3b,2.12086813148701,-0.793727550796299,4.09327828316846,0.0430540587651524,0.670473207147279
Rpl7-ps8,-1.98012263311146,0.355020658553955,7.20694913764817,0.0072621836296341,0.466609144771777
Paqr8,1.66356803054525,-0.78067258982245,7.09985039571539,0.0077090386095864,0.466609144771777
Igfbp5,1.922249093304,3.63900303947597,7.55834648506425,0.0059732772662401,0.443601851038098
Marco,-1.624280574538,1.32476703055866,4.07845646280339,0.0434333181275563,0.672795565491391
Fmo3,-3.91842877835835,6.98498922695574,10.7390745813523,0.0010489677836869,0.270464499839037
Cel,-9.98056236560622,-1.58251677748024,8.76153681329134,0.0030764970080776,0.390324453739118
Ptpn22,1.80575701734473,-0.811004021344975,6.94090986926162,0.0084246249005164,0.475480474372595
Hsd3b1,5.76471307842879,2.46339971066196,7.89446275965459,0.004958636419817,0.416721594299153
Sgip1,-2.08800668588808,-1.76147349839999,4.26521516687111,0.0389003224902083,0.667232355502649
Pcdh7,1.93427502425997,-0.932104842166532,10.9402757838916,0.000940961623351,0.260420341194753
Prss3b,-10.3292500242008,-1.51595187646698,9.7452782344022,0.0017978391800389,0.318010741000556
Erp27,-1.84467220676201,0.0604478742273256,11.2477019756485,0.0007972165589981,0.260420341194753
Cyp2b10,-1.87296941975926,5.15996957138882,9.12517610696922,0.0025211561455015,0.359850019124889
Plin1,6.01586990002294,0.708352898422319,6.101049164434,0.0135101647913404,0.541167684486769
L1cam,2.32998715386681,-1.85070326488083,4.51473287393905,0.0336041331415422,0.645832444428499
Gpm6a,1.60151660095778,-0.0132321009882774,5.8141387450979,0.0158978367369664,0.554583440321399
Plat,2.23133276060991,-1.39693769369747,4.85119325745861,0.027627013790507,0.619418572868227
Sfrp1,1.72604365616929,-0.194028466793182,5.12076894894588,0.0236411386424636,0.605236212656939
Ucp1,9.24472243623313,0.155066195839971,6.75527236043676,0.009347107812187,0.491522583834285
Ces2d-ps,-1.61265326494894,2.60743515226635,6.09544711569834,0.013553062771523,0.541167684486769
Ctrl,-3.98810061383367,-1.25398201914586,15.9318244259195,6.56652852981852e-05,0.0880718060155432
Ctrb1,-12.674480348243,0.575225686013481,16.5408964501764,4.76120115007941e-05,0.0845695128724104
Clmp,1.77700446040707,-0.703853946594077,5.4014316197719,0.0201202409993302,0.584803950209624
Nnmt,3.0368337925213,5.76133192774947,8.37946725839983,0.0037948364222198,0.399106941089513
Cyp11a1,4.62289866104353,2.06218094538562,3.99717842159067,0.045576500973997,0.674208370750461
Cyp2c38,-1.53884284652773,6.66430296942563,12.6292599821407,0.0003797554796869,0.19583132575082
Ank2,-2.42814344331192,0.192440286901671,5.95117020179967,0.01470751964159,0.546777695326645
Cspg4,2.89300080699242,-1.94118565389207,5.85238028851859,0.0155559965744713,0.554583440321399
Ucp3,6.40550984834252,-1.95444870468926,9.77243312153261,0.0017714786487298,0.318010741000556
Tmprss7,3.64682893047567,-2.27108823803267,5.19279282961788,0.0226807396008035,0.600833464979791
Acot11,2.24619156096329,1.21867731739982,5.23596796136299,0.0221244939044835,0.599035127220273
Parm1,2.1046560072599,-0.875677451798683,4.7540277390875,0.0292298014407842,0.638267267773657
Ccl2,-1.81610012792188,-1.02168723701019,5.67310452747057,0.0172269425328705,0.563444014656335
Cdcp1,-1.92571153044714,1.56733811981287,4.03512011644128,0.0445625029618406,0.673824576921042
Rnase1,-8.96168149677382,-2.42978982457846,10.2577168072888,0.0013611403279175,0.301526244935886
Glb1l2,5.3819048894984,-1.84785151632281,6.12548889074293,0.0133246434181059,0.541167684486769
Try5,-9.69211091095513,-1.90399184790734,8.59951590716122,0.0033625237111244,0.390712226243326
Asb10,4.2896308298042,-2.51054798224973,6.23156177220578,0.0125493007874715,0.538288577234412
Gask1a,1.5189948832708,1.7112626983038,5.95689206598134,0.0146598610902426,0.546276315591184
Slc19a3,-2.67959965587913,-2.54802152064415,3.96603414147005,0.0464269960630317,0.674208370750461
Alpk3,3.6018411943855,-1.99559220739119,3.94980078271685,0.0468769170501247,0.674208370750461
Cdh18,2.69354348262009,-1.34481385998297,9.49970359147819,0.0020550509284683,0.331838829722177
Igsf23,3.51149208148653,2.19558235663199,6.65595336052098,0.0098825082779829,0.49524068129102
Kcna2,1.56690493365915,0.717365498688701,7.97650964016324,0.0047388220833627,0.409280666813826
Nbl1,2.37295936014942,-0.0635743918983774,7.74599142025744,0.0053831898825037,0.432440570159318
Pnliprp1,-6.68022572663647,-1.82373939196294,11.6970842657935,0.000625981113779,0.232719397322606
Grap2,1.53657989822887,-0.886611792006366,5.21803702720524,0.0223537704494879,0.600833464979791
Nmnat2,1.50861601112096,-1.24564086790674,3.90110472619142,0.0482543676355076,0.678851831125785
Mrap2,7.04030611746296,0.232722160527215,7.62975764392371,0.0057413016946487,0.441252158128149
Greb1l,2.28770788275334,-0.922684265501029,4.93742430166962,0.0262811720989909,0.611802228033091
Adig,5.71794452752939,-2.53595494540738,4.43254286779037,0.0352599387435096,0.652633744910987
Defb1,-2.46790825967362,-0.148436824972405,4.90884595064756,0.0267194875676183,0.611945169421127
Smtnl2,1.52459095892383,-0.378851274696482,4.19178231764351,0.0406203703559652,0.669314826573499
