V1,Control.F.12-Acarbose.F.12_logFC,Control.F.12-Acarbose.F.12_logCPM,Control.F.12-Acarbose.F.12_LR,Control.F.12-Acarbose.F.12_PValue,Control.F.12-Acarbose.F.12_FDR
Lck,1.80388791406443,-0.484771982926598,15.9260898473187,6.58645310082919e-05,0.0663248590359131
Cd52,1.55687788896969,1.11729671255051,10.8331554015793,0.0009969858985621,0.166018922650145
Gm38393,2.40005597386145,-1.02029841377245,4.78743691584904,0.0286680557046433,0.522422169926579
S100a6,1.76186039623428,0.374999520763652,6.83866114654468,0.0089205672628821,0.352109106825764
Col1a1,2.0550624331616,2.39838835369534,10.5425613237985,0.0011665664245664,0.172640721573551
Napsa,2.12418610045514,-0.247207978854097,5.82849841811557,0.0157685773773302,0.449046616034984
Nkg7,2.34514898858025,-1.01483437799261,12.4237903493674,0.000423899017612,0.106134733522556
Casq1,4.54865401578539,-0.786936845795633,4.39843748924829,0.0359718738744395,0.559378646473627
Spib,1.91382657133219,-0.764566755517609,13.4821231400317,0.0002408471228808,0.0840617100029798
Zmynd10,-2.03451834475994,-1.56960397840183,4.58892236796988,0.0321792402886558,0.542062523977294
Crybg2,2.11945150335709,1.67421076092585,7.2863942120259,0.0069478788014347,0.325229266845496
Ikzf3,1.52652491563491,-1.08647211281052,4.11158587659828,0.0425904076126938,0.591806164569556
Dnah11,2.02427408738242,-1.00022206284941,5.55362541863497,0.0184424494073218,0.469460185072368
Adcy1,2.36311152373267,0.379068789863341,7.39330392688089,0.0065467125672712,0.321400336744154
Myo1g,1.88805233181442,0.652965901010958,18.7625516910349,1.48045746551898e-05,0.0236665930437863
Cep72,2.39806216943166,-0.95850023330026,14.3668328714432,0.0001504287864686,0.0747416260223451
Hmgcr,-1.5744559041312,6.62371806163832,12.0588144834824,0.0005154806286803,0.111445765912666
Cfap20dc,1.86594721988416,-1.84806690558881,4.32507341525334,0.0375547941448972,0.566757017405947
Anxa8,2.41114403327045,-1.50428902001515,4.20276643453073,0.0403580899300977,0.583604939313515
Scara5,4.05663466464367,2.07792398142309,4.5633703734357,0.0326627353332,0.545037307643897
Tfrc,-1.58850697066431,4.35782014804623,14.2988844937179,0.0001559572714857,0.0747416260223451
Ltb,1.81868945063043,0.422972621324108,13.0111277573604,0.0003096454027692,0.0951921424744067
Ms4a1,1.55846385214476,-1.08473036783532,4.90950750674448,0.0267092556218475,0.511719117978402
Gna14,1.92173276320273,2.29360580816545,25.0958964383451,5.45488164539009e-07,0.0043600868991603
Trpm6,-1.68736071347864,-0.0456694460371696,4.77615860542048,0.0288564228728368,0.522422169926579
Sntg1,-3.68665808045119,-1.43055527960252,5.20818511304572,0.0224807898814724,0.492973809389873
Coq10b,-1.52844755958732,4.27743127884931,12.3539347395546,0.0004400580141369,0.106134733522556
Vil1,-2.31719404913874,1.15750343046415,5.39344177970494,0.0202125653604558,0.480443260902296
Tnnt2,2.29211078035347,-0.0328390086054661,3.92271141464053,0.0476379890854485,0.604624856250109
Ifi211,1.60356943211229,-0.506699793464179,7.28598858002559,0.0069494477750115,0.325229266845496
Ush2a,6.08942623485123,-1.33307702907561,15.5861536553502,7.88297461330132e-05,0.0663248590359131
Card9,1.98160754520628,-0.895658716123,14.4336286311048,0.0001451864229092,0.0747416260223451
