V1,Control.F.6-alphaestradiol.F.6_logFC,Control.F.6-alphaestradiol.F.6_logCPM,Control.F.6-alphaestradiol.F.6_LR,Control.F.6-alphaestradiol.F.6_PValue,Control.F.6-alphaestradiol.F.6_FDR
Hk2,-1.89771620016523,0.500450676238283,6.017527753767,0.0141644752376923,0.205288577651631
Ccne1,-2.03719496404543,0.117381393625834,7.49599677703997,0.0061836295440306,0.136269073017662
Mybpc3,-4.7671809420403,-1.52482577382085,11.516136220759,0.0006899464668654,0.0462665025110374
Rec8,-2.24719492258693,-0.684247713186742,6.78816985625311,0.0091763936773138,0.164408178013503
Ier3,-1.58362318130376,0.535077654912556,9.55253890278271,0.0019967304557088,0.0776076487455642
Fosb,-2.27087826930082,-0.78022788106405,6.62057732777546,0.0100807151179105,0.171436501994592
Gstm3,-1.78710731335002,5.83783601948952,11.8374667163144,0.0005805074704282,0.0420730241133378
Hspb7,-3.47211909511394,-0.678138594683482,4.24781282684931,0.0393009148416852,0.324014659442589
Nectin4,-1.54575206933108,-1.42371374964582,5.74601222872754,0.0165261296989585,0.223130666695566
Krt23,1.92370556824173,3.39521827207173,9.00744895460275,0.0026888145881264,0.0895166226030595
Crybg2,-2.83309858666211,1.67421076092585,12.2722262405943,0.0004597494864247,0.039234913019119
Myl2,-7.05623195640536,-0.711334419473353,5.91567401658998,0.0150067605685783,0.212675597916039
Gadd45b,1.53627947421133,2.7416627267814,7.91016040325438,0.0049157910644737,0.120527355761775
Sertad4,-1.64760655069742,-1.08829412906402,4.34849430279615,0.0370416812867207,0.313671166718921
Wt1,-1.7897842430429,-1.48689800656591,5.50173327450108,0.0189976344113167,0.237308021701107
Cntnap1,1.77340560176034,2.20214604606883,9.55553401033111,0.0019934751151114,0.0776076487455642
Wfdc15b,-1.77753797725287,-1.02534864746733,4.87683037505152,0.0272195586720751,0.272103604922503
6330403K07Rik,-4.94521706772381,-1.52413878576147,9.96488023365397,0.0015955455626753,0.0687032984095947
Dusp14,-1.50282955586161,-0.207814173078859,6.84985768617078,0.0088648333702314,0.161404585713576
Mb,-7.47770673294048,0.405596839087326,5.35469910930014,0.0206665000715763,0.244721977884607
Acot2,1.52628564854394,5.5952339636214,16.4760292269852,4.92690646866431e-05,0.011933564667889
Ryr2,-5.26188470239248,-2.32947156799433,7.88829750624301,0.0049755678372305,0.121064577543329
Ckmt2,-6.37925165081916,-0.805661271207456,4.89348930172367,0.0269581496092424,0.271039609844874
Hmgcr,-1.67402656987008,6.62371806163832,13.5599367231081,0.0002310648867755,0.0295504262399518
Srl,-1.59747348528714,0.655041770871862,5.53149387838498,0.0186771521767093,0.234558860019683
Ncam2,-2.24304300265308,0.716088201332486,20.8714581146524,4.91158891476603e-06,0.002625206106349
Cdkn1a,2.93233017963006,3.450394007458,7.98500921360062,0.0047166255260535,0.117445444952479
Kcnk5,-1.56738282963116,5.33311222152437,15.6960272564508,7.43802325428817e-05,0.0152441333003911
Tff3,-8.36928451615096,0.284098547095563,28.481441483734,9.46009354202625e-08,0.000378072638407
Grm8,-2.48409835966062,0.541311698619078,21.2592953690183,4.01160247630269e-06,0.0026231292834051
Cyp21a1,-4.07898881773768,2.64825704779264,5.47059200231489,0.0193390736431194,0.238913779952788
Tnfrsf11a,-1.54983534949116,-0.530298876040601,12.8888803429694,0.0003305401153387,0.0338718864346541
Rgs1,-1.82082312394167,-0.863233807065478,7.43877188570593,0.0063833435231614,0.137156088119971
Tnnt2,-2.13492167947403,-0.0328390086054661,4.21645699884796,0.0400336709755028,0.327522141358438
Adcy10,3.02765340772523,-1.54251064718003,7.16096193890899,0.0074507229192028,0.148228167439729
Batf3,-1.71452956519114,-1.0672267481242,7.4726496314917,0.0062643290195903,0.136453957132642
Knstrn,-2.11879858129973,-0.42521853191621,12.4983559972864,0.0004073102869694,0.0370134356432203
Adra1d,-5.0690490961846,-0.318321450317804,6.26492551694368,0.0123151346761372,0.190815805031274
Il1b,-1.68457675064544,0.461317084230738,10.179908088635,0.0014197925839384,0.0649895743619613
Casq2,-5.55306325290363,-2.22286398600776,6.00218578907838,0.0142881658316208,0.206331224156837
Bnc2,-3.35843861199598,-2.20419754043508,11.2256387110867,0.0008067500443245,0.0509071490028895
Per3,-2.37040044800293,4.40121093549117,8.84037161088854,0.002946391461801,0.0918162210537648
Cgref1,2.15077075427735,0.436533176965551,11.7445393030827,0.0006102201145909,0.0429295575867521
Osbpl3,-1.50345616263847,2.98162534958278,4.75288225790375,0.0292492637202028,0.281165802664559
Erp27,-1.58546415197686,0.0604478742273256,5.2997209063288,0.0213288416139488,0.247285905729138
Cidec,2.36030140021812,2.3051166633098,12.3717788777445,0.0004358721254071,0.0384040211160848
Ckm,-5.92452527181792,1.44110354220351,4.6559388836823,0.0309463040609746,0.287918453675072
Entrep2,1.66944003587909,-1.14896943030084,4.78125043031527,0.0287712215931918,0.280311412584746
Cox6a2,-4.08017733805785,-0.262436919526381,4.9831103325189,0.0255959253370128,0.264899514164069
Fgf21,2.61432028654586,3.79487546661965,14.8063078546748,0.000119136338341,0.0198386823408336
Wee1,-1.87524279067468,3.58535154074038,7.07649207846346,0.0078101758274728,0.150607323013247
Myom2,-5.86485645588988,-0.714260451622449,4.07030343590791,0.0436434337363551,0.342217111818928
Msmo1,-1.50843295945156,7.03974442805547,8.99209486551882,0.002711499864467,0.0896363052992588
