V1,Control.F.6-CR.F.6_logFC,Control.F.6-CR.F.6_logCPM,Control.F.6-CR.F.6_LR,Control.F.6-CR.F.6_PValue,Control.F.6-CR.F.6_FDR
Cacnb1,-1.53841438926143,-0.635094652339672,7.30776474325043,0.0068657277892708,0.0475337914418728
Nr1d1,2.6280731322784,6.58902580853068,36.0634954092049,1.90991452779572e-09,4.12593157315438e-07
Sptb,-2.10807625865229,0.655158521749437,15.4948814482681,8.27289718323048e-05,0.0019420049100018
Asb2,-2.31102544997498,1.18905641386666,16.120384841368,5.9440777925712e-05,0.0015610563009484
Fos,2.08563051149717,0.678766711170427,6.25579406974144,0.0123787747538837,0.0713106642218325
Pitx1,-7.19535009571513,-2.33216110309382,4.70718315513465,0.0300368294771453,0.131121997821312
Ckmt2,-7.95657689603466,-0.805661271207456,6.33536255976218,0.0118353920462328,0.0692195902981718
Sftpa1,-2.69451023039317,-0.0262033945474759,28.6370626128408,8.72952653384925e-08,9.69098688681348e-06
Ldb3,-6.31566005882878,-0.490457820918326,9.23247213211226,0.0023776041861483,0.0224106017215608
Mss51,-1.6922133574632,-1.28381396853134,7.32423953919209,0.0068030743161565,0.0472022335147908
Plau,-1.55345544545772,0.541153608610532,5.31390888016643,0.0211558382237529,0.10332943166664
Rnaseh2b,-1.85313832239463,1.69193364489118,42.3251294113887,7.72930111465442e-11,2.52164505344624e-08
Anxa8,-2.17863032574096,-1.50428902001515,6.37059404114555,0.0116026749040906,0.0683924635017669
Amer2,-2.44856939770153,0.183291013931386,14.6081666496908,0.0001323397915569,0.0028170225137548
Tsc22d1,1.58102279083855,6.22939396110238,7.91053913949298,0.0049147620097822,0.0376056653892217
Cnmd,-1.75971842318862,1.4663127552682,17.6765327673358,2.61837110538889e-05,0.0008388232563275
Tgm1,-2.98946755941201,3.48427186975152,46.4919746105215,9.19944571208274e-12,4.595698098542331e-09
Ropn1l,-1.63165833565956,3.13922829348267,34.9322585133966,3.4137784383377705e-09,6.77203309253571e-07
Wnt7b,-3.63980563934817,-2.49457864594626,6.87188251642472,0.0087562365776591,0.056238327814568
Srl,-2.81536266791023,0.655041770871862,16.1791082990942,5.76261665399604e-05,0.001538556663118
Sdf2l1,2.24636261237794,4.97215793467443,16.2023627375511,5.69230750148328e-05,0.0015242817898478
Ehhadh,1.56025011373807,9.58185008094102,22.9275120993879,1.68226749109265e-06,0.0001014819928777
Gpd1,1.62271539999305,8.58637065992876,59.2546522421463,1.38532438901909e-14,1.70352274483533e-11
Nr4a1,1.75071949779245,2.55698572566599,3.99609841797746,0.0456057175183635,0.172761374466483
Csad,1.69973771199971,7.457882991502,8.56286054972546,0.0034308991623268,0.0293767295173842
Fabp2,1.54607247628884,6.068559117603,20.5942159765331,5.67673648296572e-06,0.0002563511565443
Fhl1,-2.7980443792003,2.59414582982415,23.7755009947626,1.08251577843641e-06,6.94983824662027e-05
Serinc2,1.86146109118034,4.07363362338123,31.5457159957198,1.94799660629668e-08,2.6498490736493e-06
Creld2,1.69170808876516,5.81769852749814,10.7850075551293,0.0010232548667273,0.0122346688851928
Pi16,-2.80287474978016,-1.57881709142183,5.24593040751294,0.0219981616948449,0.106481388143178
Myom1,-2.68772227952172,0.45966065618403,12.2844928236739,0.0004567375041852,0.0069273299259071
Mapre2,-1.50078741316801,3.91557322157545,50.6834621594577,1.08530211756433e-12,8.674819825691671e-10
Dtna,-2.16576583155198,-2.23370153901835,4.25778465355139,0.0390708424028452,0.156342049224501
Myot,-9.37258900857518,-1.12586657640046,8.17803727525122,0.0042400613123955,0.0337389846391018
Pcyox1l,-1.72987527873241,0.403779308090764,25.8628583426144,3.66554734663944e-07,2.89709631349419e-05
Camk2a,-2.94392954912534,-1.59212983088293,9.64317425836064,0.0019005651046463,0.0190844433183899
Keg1,-1.79563975575864,6.2098581843545,28.4204343631185,9.76293666099134e-08,1.04450183097556e-05
Gm49405,-1.57471230703969,-0.0718949592813943,15.7724182930097,7.14363747143714e-05,0.0017705145522231
Cyp26a1,-2.02492624065742,4.09950469774633,9.49722341189509,0.0020578306507396,0.020206683527472
