V1,Control.F.6-Acarbose.F.6_logFC,Control.F.6-Acarbose.F.6_logCPM,Control.F.6-Acarbose.F.6_LR,Control.F.6-Acarbose.F.6_PValue,Control.F.6-Acarbose.F.6_FDR
Adcy10,2.72569895315346,-1.54251064718003,6.02582873420121,0.0140980106511578,0.106810804867018
Nek2,-1.61193971230104,1.36698777819981,21.2036917228068,4.12968298536846e-06,0.0003627313857368
Atf3,-2.89834559037753,0.993037191703775,29.8629892450093,4.63680001007296e-08,1.23539808268377e-05
Lamb3,2.93285692880696,3.83386306476296,43.9984347583972,3.2863856514064e-11,4.26171867724346e-08
Cenpl,-1.59844519330989,0.944790425691764,16.3526112375566,5.25836621999606e-05,0.0023855993891405
Pkn3,-1.51758263391218,0.270997135253701,14.3110935289328,0.000154949041683,0.0051497201254575
Lcn2,-1.96244743504594,3.35543109490118,5.65904510800144,0.0173655750413455,0.122113359527518
Upp2,1.55073926963753,7.51924982039823,8.77828091426625,0.0030483835380282,0.0408478283645596
Lhx6,-2.26819120282506,1.89915293431807,31.4255269268804,2.07238296880005e-08,7.20198133461688e-06
Tmem141,-2.37726615481803,3.6618041137435,79.9438758560533,3.8519721643947204e-19,6.1577627020014005e-15
Dhrs9,-2.24811211264397,1.2019492125527,10.1072115854427,0.0014769025202271,0.0257467433896958
Lrp2,2.49517224977658,1.32779658785861,4.5475651512719,0.03296559309997,0.180043720975784
Knstrn,-2.52967568094193,-0.42521853191621,18.188612807085,2.00071493457819e-05,0.0011422653194345
Adra1d,-4.8762625726772,-0.318321450317804,5.89321975077695,0.0151992860486406,0.112073702386332
Gpcpd1,1.62934603846132,5.62815188958531,11.7092349819123,0.0006219068199149,0.014182314441027
Tpx2,-1.69150282277046,-1.26235423388442,6.57493829929027,0.01034245885271,0.0880375650795645
E2f1,-1.61703569261969,1.43632697781814,18.5066453734338,1.69312929395135e-05,0.0010175325147784
Epb41l1,-2.06378598196337,2.49270417915009,27.1858341391325,1.84807821314538e-07,3.73966814118255e-05
Efna3,-1.81525755675049,-1.04838327350068,6.60968959196369,0.0101425339919611,0.0869841997829886
Cyp7a1,3.4930631509244,6.7535086515528,19.5125868963005,9.99389825006278e-06,0.0006886312820064
Tpm2,-2.242505808998,3.11308332695375,3.87091868277938,0.0491296225311552,0.229309823586291
Ttc39a,2.36777511616811,0.62040169564966,8.0112727135337,0.0046487054844052,0.0540074170593764
Sytl1,2.52076465533503,2.02537917377533,13.340472781016,0.0002597388562313,0.0074278807794531
Smpdl3b,-1.82298160673671,-0.411237079057849,11.1164611082569,0.000855648915131,0.0174915646512597
Prom1,-3.40862410797958,1.22238140124811,28.0046953672772,1.21021449042566e-07,2.68701233943675e-05
Evc,1.6665246904213,1.46600195395774,6.93733016361678,0.0084415018711614,0.077324067992785
Slc30a3,-2.99342688094858,0.542702193477323,20.697385531244,5.37893953702856e-06,0.0004373722391786
Cgref1,2.24022041443956,0.436533176965551,12.6505076200094,0.0003754637170802,0.0097914567393881
Cxcl1,-1.77096284638978,2.64338395921215,8.88920636146139,0.0028686139575624,0.039228111826855
Shroom3,-1.57870831236787,3.21479439249633,36.2611953415528,1.7256584790598502e-09,9.85227730223242e-07
Gngt1,1.6593288731649,-1.2432664056221,3.92415717481455,0.0475970432049128,0.225398857692233
Lmod2,3.26326606838177,-0.973261465773161,4.65889128916623,0.0308931337962998,0.173760524929113
Slc41a3,1.61428494721147,0.899616029412216,15.7995953834828,7.0417565516887e-05,0.0028716714345738
Tuba8,-1.51741205468642,0.952813583518583,5.17852213175968,0.0228677662651552,0.144374301672507
Erp27,-1.82877332004262,0.0604478742273256,7.32355700475044,0.0068056583558795,0.067954562446652
Bhlhe41,1.85630026597377,1.70088491527136,4.90714778795278,0.0267457708296388,0.159417558718347
Srgap3,1.7596189135271,3.1026441394747,15.3470368358932,8.94611266538912e-05,0.003429557723475
Entrep2,5.07360773082314,-1.14896943030084,23.3860546149001,1.32535879101479e-06,0.0001642417490942
Mesp2,-2.16073523569982,-1.22117912248279,5.83494963586421,0.015710859444045,0.114629757678003
Sox6os,1.57622259549822,0.234955164525268,16.7329515694272,4.30271522502233e-05,0.0020532300175285
Nupr1,-1.62999513874564,0.0786906633753597,9.02972770804571,0.0026562404507096,0.037215302230538
Itgax,-2.85146692411416,-0.303589186916821,19.4286393025281,1.04429268441888e-05,0.0007119911175703
Oat,1.62072582389722,9.68766301139244,27.7638903046399,1.37060576022699e-07,3.00143886068338e-05
Mki67,-2.0445364368334,0.15834250791662,11.4530160295994,0.0007137805494215,0.0155033911182785
Ccdc120,-1.5504240740102,0.0630503683871756,18.9932655377093,1.3118063086316e-05,0.0008421901867383
Cdx4,-2.758370619454,-1.70474345922696,6.12628312730587,0.0133186585271077,0.103281195828216
Pdgfrl,-2.23796775805694,-1.17290636884995,8.27078482584254,0.0040288087204569,0.0491262671283179
Gpt2,1.77667917935267,8.56086760390333,26.6145553786875,2.48365572384084e-07,4.61671167457205e-05
Pbx4,-4.64467468937814,-1.92864558413363,7.15553193158441,0.0074733127901393,0.0717222746172458
Lpar2,-2.0823328945546,0.203997717165234,6.03636074647696,0.0140141441598609,0.106555737125156
Ces2d-ps,-2.01118259208739,2.60743515226635,8.73097714625141,0.0031284879100565,0.0414006686507983
Tmed6,-1.73541263280037,-1.55910061407752,4.72869011488888,0.0296634681129644,0.169808273521504
Acta1,-4.11382623939842,4.25911382407819,4.47304352854702,0.0344336039670611,0.185161097635814
Olfm2,-1.70937368630586,-0.0618266474993914,9.16850852409554,0.0024621514641978,0.03555551337549
Ccnb2,-1.77313954663358,-1.01811088627623,5.32384557421964,0.0210355389104381,0.136864849417796
Nnmt,3.36266130467032,5.76133192774947,9.99516977591372,0.0015695135843375,0.0266388337680394
Cyp1a1,-1.59606006027133,0.500810736061103,11.9422762029723,0.0005487439664983,0.0129958830347306
Fhl3,-1.72427629934661,0.481625962992798,8.53660258236016,0.0034807472252725,0.0446428984164366
Chrm1,1.62806996180948,-0.287618798060864,6.45532294302221,0.0110620436356912,0.0920550908694218
Adra2a,2.65390646392381,-1.39195979449705,5.54158834870392,0.0185697209877959,0.126992533140712
Brip1,-2.23427923018036,0.573718973245786,40.8979543320916,1.60388938393716e-10,1.42443198286775e-07
Eda2r,-1.64686355278367,-1.27809487924143,5.92741213038419,0.0149071179616215,0.110902849536845
