V1,Control.F.12-Rapamycin.F.12_logFC,Control.F.12-Rapamycin.F.12_logCPM,Control.F.12-Rapamycin.F.12_LR,Control.F.12-Rapamycin.F.12_PValue,Control.F.12-Rapamycin.F.12_FDR
Itgb7,1.55774167843032,1.13681342027174,14.040276206871,0.0001789366592343,0.0348456086980235
Matk,1.59359635513856,-0.876808347101969,7.6614620253183,0.0056412772444305,0.193281503844457
Fcer2a,1.58995137952122,-1.02082888282248,5.69170471657709,0.0170452884666264,0.318154536521671
Spib,2.25611439171861,-0.764566755517609,19.143922497188,1.21222871187586e-05,0.0080612865025142
Plcd1,1.82569180040668,-0.998265453983974,6.55187921944224,0.0104773441195591,0.254968696867579
Crybg2,1.62988847573915,1.67421076092585,4.47162643117406,0.0344621724651616,0.387354443767228
Pax5,1.68601322660634,-1.07029139781485,6.3815752041122,0.0115311045873159,0.266767348672694
Blk,2.45441654183807,-1.09066101437999,12.353382358318,0.0004401882373237,0.0633950374942072
Dnajb9,-1.54623613264774,5.87471476337959,34.9603981363497,3.3647968817780305e-09,2.68948214760518e-05
Itga2,2.88602045533769,-2.13067653802736,4.42112523329348,0.0354966210142942,0.390310438124315
Lama5,1.67145190870786,1.70452929303792,15.6852321391513,7.48059690553052e-05,0.0213544325235377
Ikzf3,1.62762496890255,-1.08647211281052,4.74725528638722,0.0293450648714994,0.372014438569223
Tnfsfm13,1.76599480057324,-0.668608297175662,9.67377226912475,0.0018691713365688,0.132105996784684
Pttg1,2.54894904847511,3.13520459153168,7.1531108012593,0.007483407710587,0.220719106386429
Osbp2,1.86231855908521,0.336531076886667,13.3740095859857,0.0002551353235253,0.0429325608618587
Cxcl14,1.63224589946737,0.275403429132113,4.98522123462671,0.0255647160316875,0.359819590274573
Cep72,1.72872850085737,-0.95850023330026,9.34028835955067,0.0022417024959638,0.144499419759993
Amer2,2.1806330785773,0.183291013931386,8.17179771492344,0.0042546717025293,0.171894968614089
Slc15a2,-3.5604105030476,0.91871032855497,8.5915733714196,0.0033772208942031,0.157519858444122
Npff,1.6175330018519,-0.696546167016333,9.00361753463483,0.0026944573080352,0.14787441967776
Creld2,-2.23327643844016,5.81769852749814,18.1178064438803,2.07650488869184e-05,0.0111498727835369
Cd4,1.92874142351328,0.319386709012466,10.4035257260626,0.001257749377525,0.10987093742686
Ptk7,1.50294175198486,-0.114656718794047,8.62799078714646,0.0033103649044483,0.157519858444122
Grm8,1.6809547502017,0.541311698619078,9.39203331132433,0.0021793036760167,0.142780117068868
Ms4a7,1.76566169388188,-1.4974576290176,4.59962887705444,0.0319788780040493,0.380934682393988
Ms4a1,1.56777855727823,-1.08473036783532,5.29263967948975,0.0214157349739043,0.340310078819915
Pitx3,4.11546896938646,0.830074813068952,4.93677465581748,0.0262910524703829,0.364513740678184
Gm9752,1.66365723310506,-0.21984055030922,12.0590485570915,0.0005154159078032,0.0685616072312053
Sntg1,-4.80609261368057,-1.43055527960252,9.82538609840697,0.0017211956633724,0.129178562791886
Marco,1.79910023680504,1.32476703055866,4.74813240828342,0.0293301100907186,0.372014438569223
Prrx1,2.91251835054663,-1.17048231470617,5.04268172745211,0.0247301776883643,0.354685283980869
Traf1,2.01830176238757,-1.04568478101443,9.92007745926125,0.0016348550128705,0.125648039594944
Lrp2,2.60280026402186,1.32779658785861,3.98320568969987,0.0459560228276243,0.42344374815937
Adra1d,6.03998006718825,-0.318321450317804,6.57062849076219,0.0103675333201428,0.254585848933645
Nfatc2,1.84480973970846,-1.21661473573123,5.59701932795159,0.0179910610254567,0.322341051241257
Ctsk,1.9161635931517,-0.632113374501776,11.769987895018,0.0006019336966067,0.0726717193661665
Svep1,2.09604377205961,-0.708519775282771,5.87681604658744,0.0153415400324366,0.304998297393037
Cnksr1,1.61809571655504,-1.46272614141426,4.3740381636833,0.0364904191703405,0.393572769718918
Ptpru,1.60427258890665,-0.650518684031541,4.40715420819188,0.0357884970630568,0.391374689303185
Espn,1.83350117388711,-0.431127779060367,8.65527495932515,0.0032611586296119,0.157501153634372
Per3,2.05002249078423,4.40121093549117,6.68673815953457,0.0097132767795409,0.249411856820726
Hsph1,-1.97370847928404,5.96620453069946,25.4059391593228,4.64485902662451e-07,0.0009281589549952
Gpnmb,4.07892713316295,-1.61029808620732,8.66660083940389,0.0032409516440564,0.156999554490566
Ing4,1.52298058142405,-0.94031323740194,5.49362439364374,0.0190859375106958,0.32991528336155
Siglecg,3.0273009160332,-1.36198868420019,14.5965722264769,0.0001331565319105,0.0293272903608953
Cd22,1.91020899950341,-0.0976716440233803,12.6120523715076,0.0003832674479108,0.0589126290606092
Cd19,1.71682054306601,-0.312939053683754,8.22462458548881,0.004132575337077,0.169727719149022
Itgax,1.93156324272988,-0.303589186916821,8.91722940312234,0.0028249274704666,0.148063247681572
Adcy7,1.64664365226118,1.42419712685385,18.0352330664106,2.16854154973657e-05,0.011182679101319
Smpd3,1.80568661816861,1.04351072477269,7.75155884429707,0.0053666198683304,0.187726007035297
Thy1,1.6069609787968,0.207458717684203,11.5184054612491,0.0006891047379598,0.0782113236136991
Hyou1,-1.56300242415917,7.683968803454,19.0691263832996,1.26067911023931e-05,0.0080612865025142
Pstpip1,2.20885500429077,-1.17796489250967,11.240723255181,0.0008002196733049,0.0851125611581749
Manf,-1.63980464939215,6.68688148848105,16.056907569665,6.14669864524009e-05,0.0193256954123176
Ubd,3.0672905628347,-1.37935343685713,9.23942322956824,0.0023685954798482,0.14462798603412
Mbnl3,2.00161214361082,-1.27738075765438,4.1706898962728,0.0411290491053632,0.41093061187396
Spred3,1.87404426615458,-0.879014381442166,7.29296707081218,0.006922505537454,0.213488918055284
Traf3ip3,1.62211965989977,-0.858370791661887,9.50519649013107,0.0020489081731647,0.137045380988334
