V1,Control.M.6-alphaestradiol.M.6_logFC,Control.M.6-alphaestradiol.M.6_logCPM,Control.M.6-alphaestradiol.M.6_LR,Control.M.6-alphaestradiol.M.6_PValue,Control.M.6-alphaestradiol.M.6_FDR
Ckmt1,-4.87975912807063,-1.96775693285937,14.7137321733926,0.000125131631781,0.0264156115184946
Hoxb6,-2.34785526998511,-1.87690416726377,5.42562624429618,0.0198433175403221,0.570170971337286
Car4,-6.99760740269277,-2.35565734928417,10.0040364716956,0.001561974914897,0.137280934615569
Aif1l,-4.45993344250145,-1.47596663476557,16.5736918410956,4.67956867564602e-05,0.0146681538919367
Gria3,-1.86091631166973,-1.13599679059586,5.4960832142101,0.0190591170317556,0.562847725795718
Napsa,-5.30439087399868,-0.247207978854097,35.7769187197999,2.2125366437381e-09,5.89493513113287e-06
Epdr1,-2.63021116158264,-1.80339544985879,8.56038059389086,0.0034355759082252,0.237753750947568
Arrdc2,1.81396771641075,4.26661702343084,23.1893607954447,1.46807290919455e-06,0.0009725502180282
Ddr1,-1.92828835031357,1.05405160449248,14.5408607453648,0.0001371523315408,0.0284742489871785
Etv1,-1.65298843661648,-0.511884016912123,10.0123646399526,0.0015549275167962,0.137280934615569
Ndrg1,-3.14340067850627,4.08326791500637,25.864991669477,3.66149841617194e-07,0.000344310080476
Pvalb,-6.97408402963991,-0.838375547418446,7.70721605964915,0.00550005093984,0.309993364049969
Dnase1,-2.30176964587445,1.03231380179686,23.8287896752221,1.05295738766051e-06,0.0007651171272336
Htra1,-2.26031090669189,1.10476653748252,20.8194808344079,5.04670127250456e-06,0.0026024698884599
Derl3,2.42503510025648,2.13717836655579,8.15874015278632,0.0042854130071665,0.269463667466769
Zmynd10,-3.16879848584063,-1.56960397840183,13.5976770896029,0.0002264655796089,0.0411395313139564
Epn3,-1.60910641668125,-1.39378550606605,3.94742477181472,0.0469431548494103,0.815825084697658
Slc5a1,-1.76941592252144,0.446331074578263,15.9980643318926,6.34072797012122e-05,0.0171801487000606
Mogat1,-2.56259910191888,0.106496150395278,9.31832130191923,0.002268737549608,0.17528877903226
Ehf,-1.59703900185902,-0.900926058848908,6.71932588213715,0.0095373669617914,0.421172232738116
Trpv4,-1.96010938621015,-0.449917943508094,11.6496830052106,0.0006421347634085,0.0821213306227892
