V1,Control.M.12-Acarbose.M.12_logFC,Control.M.12-Acarbose.M.12_logCPM,Control.M.12-Acarbose.M.12_LR,Control.M.12-Acarbose.M.12_PValue,Control.M.12-Acarbose.M.12_FDR
Cnn1,-4.1819214432199,-1.73483671667036,7.85178013038229,0.0050770691905021,0.172685166126312
Cyp2a5,-1.90066797341495,10.74799299718,14.3309192354263,0.000153325785753,0.046868044102472
Slc4a1,2.52127927643896,-1.5296730255015,4.48168136602236,0.0342600008156578,0.335177706878278
Krt23,-2.30189546223716,3.39521827207173,10.7006838859967,0.0010709593916267,0.0950926254985935
Rps18,-3.49586892441974,5.73535066745269,9.04284927797821,0.0026372429405019,0.131750607842292
Ptgds,-1.92596806262883,1.8599265419339,11.9006100676056,0.0005611556222823,0.0735297850639741
C4a,1.71003743441486,7.8646761268036,8.15435112548017,0.0042957967504974,0.160870596348625
Ttbk1,1.89467860017527,0.761059496868064,16.935021776063,3.86813125201976e-05,0.0223468605023873
Pnpla5,8.92088023770313,-1.46193270997062,12.9922569230643,0.0003127817308929,0.0595253422625574
Cyb561,2.22430982228163,1.68619960973328,8.27121886539587,0.0040278457009479,0.158801645875225
Hebp2,-1.94158438706049,-1.83673696658432,3.96252106326723,0.0465239764705855,0.36883536131667
Moxd1,3.20385767128904,2.58265298350066,3.93990675191768,0.0471533911867661,0.369663808834337
Socs2,-1.92296534697079,3.92136192209752,9.01882523524822,0.0026721307772115,0.132249791345211
Shc2,-2.74483179417556,-2.04679820694028,4.11854746311228,0.0424154814200875,0.357058391775418
Adcy1,2.2796297341104,0.379068789863341,5.96597946511265,0.0145844968306936,0.245868844287818
Rnf144a,1.55121236394275,1.35643739100397,8.46080703857709,0.0036288080792796,0.151070609651378
Rrm2,1.63940317891064,1.03524414656113,12.3207043091571,0.0004479616447395,0.0658592712742989
Acot3,-3.32721261102517,5.25521428588413,16.8538596184562,4.03711471124127e-05,0.0223468605023873
Cxcl14,2.24217601218078,0.275403429132113,9.88917903342775,0.0016625352596098,0.109823506860016
Cfap20dc,1.8889604965037,-1.84806690558881,6.59648857968033,0.0102180088365316,0.21567521774561
Scara5,2.5126671438097,2.07792398142309,8.98746136677525,0.0027183838387101,0.132573813890082
Sybu,-2.55439958631326,0.705910068791325,9.17980544695416,0.0024470003353466,0.131750607842292
Myc,-1.6356595065093,2.40344645185976,6.69518131226996,0.009667383668628,0.211380764239083
Cyp39a1,-4.32899973613393,4.30435013247077,37.0665120843483,1.14167684629324e-09,5.43840634152877e-06
Fgd1,1.90361479251469,-0.595826422559129,7.10964103939315,0.0076670461132793,0.197367792539264
Ifi202b,-7.96967926026731,-0.0517843265565183,12.7804103502351,0.0003502680855755,0.0615317100660433
Adcy10,3.36283938403457,-1.54251064718003,6.50503716666653,0.0107569315564446,0.219143791188225
Fmo3,-2.38632698844195,6.98498922695574,4.58646156753528,0.0322254767646028,0.328930378803865
Lcn2,3.26609240391019,3.35543109490118,14.1129541330589,0.000172154109618,0.0478125733050284
Nr4a2,1.62977596126116,-0.304461876495275,4.9779916930146,0.0256717679318371,0.301534814223621
Knstrn,-1.52268651568601,-0.42521853191621,7.91829236243188,0.0048937440906244,0.170438764777173
Cpxm1,-1.64345774537439,0.0604344128684442,8.91358965248787,0.0028305632570956,0.133148999156994
Fabp5,2.6177043671736,3.56288680099828,12.457926614558,0.0004162217085982,0.0655600843307449
Chrna4,3.28128515599367,1.44198754803788,11.9859296165914,0.0005360374498,0.0735297850639741
Ccdc39,1.51714337155403,-0.811323600040963,5.84868315872367,0.0155887118333027,0.251972848702909
Hao2,-2.07428088440622,4.9136740790111,5.51306688517917,0.0188749218107083,0.269690028878479
Ifi44,1.94210848800307,1.14227426732965,11.8689060467687,0.0005707893024856,0.0735857886252907
Atp6v0d2,-1.7029299603809,2.74623078736544,9.58065296637438,0.0019663845921303,0.12118559206728
Cyp7a1,-1.83958308052082,6.7535086515528,6.18952663360653,0.0128508556750478,0.232119668863776
Gpx7,-1.90731634170715,0.306265592594593,19.8322897784316,8.45423878286996e-06,0.0079499683048799
Cyp4a14,-2.3552422626113,10.6273762730769,6.18424379309677,0.0128892773823123,0.232297619203658
Crybb3,2.60068807574516,-0.122428077359659,13.2994526573971,0.0002654836078441,0.0558423809868012
Tuba8,-3.07060297591435,0.952813583518583,11.6133430438913,0.0006548034792022,0.0764358673192273
Clec2h,-8.99524547546819,0.727343073187624,20.4960597501979,5.97541330736616e-06,0.0068230683665396
Cyp2b10,-1.58074693505759,5.15996957138882,7.20153127688356,0.0072841401293422,0.194397769795769
Tmc5,2.22743618106393,-0.349382915494058,5.46914713514528,0.0193550685763792,0.274299757324466
Fgf21,2.44108455070595,3.79487546661965,11.9276695389492,0.0005530631843073,0.0735297850639741
Mcf2l,1.59813620692878,-0.967565891906265,4.62770141649872,0.0314596839778216,0.325817797650859
Sfrp1,-1.9707569225977,-0.194028466793182,5.58938441460243,0.0180696453564058,0.26471164750947
Fgl1,1.63315677545043,7.84409788340962,6.86166438907446,0.0088064482571062,0.204222408625789
Pdlim3,-3.31552145141502,-0.947869102393074,4.80230441119473,0.0284216969268959,0.31139959463868
Ucp1,-7.09943751479343,0.155066195839971,4.62341335568887,0.0315384179334741,0.325817797650859
Mt1,-1.6122645305582,8.02044864240767,3.85925227861969,0.0494723713301092,0.37461008686734
Ctrl,2.76885275309092,-1.25398201914586,4.01541345771686,0.0450861674271883,0.365305358586433
Usp2,-1.71901174083229,4.97247296117237,3.8786415184384,0.0489041124384345,0.373521806708463
Cspg5,2.15409209627035,1.32823424975708,14.081855033937,0.0001750241026656,0.0478125733050284
Oas2,2.0926357198563,0.716262991781231,17.0084737459361,3.72133682572704e-05,0.0223468605023873
Igf2bp2,1.51490895238182,0.201734149620838,6.17874855268634,0.0129293691599702,0.232495945322029
Map9,1.73220364792169,-0.0289891872214978,10.3617212139111,0.0012865519502529,0.102305962023581
Eda2r,1.78284952389469,-1.27809487924143,6.41348028061122,0.0113257215126195,0.221878656986195
Twist1,-1.71869169441539,-0.8355154707608,4.04239875907832,0.0443707105574535,0.363190055796954
Pax1,4.58108379936218,-2.91164526397376,3.94207204757816,0.0470927385481185,0.369657540190368
Mycn,3.87171556278858,0.254117306122683,29.5498262809732,5.44975377529391e-08,0.0001742395277036
Serpine1,2.01063000370102,1.00996916988886,6.43626720651358,0.0111813361555707,0.220775296186499
Dzip1l,1.86790462432169,-0.58018546272524,9.51195151426847,0.0020413794917063,0.123326664547114
Ifi206,3.46542800225125,-1.81062272035674,6.81457001191839,0.0090417072218938,0.20648675949885
A4gnt,3.94584957803383,-1.62983185838901,7.27356263613849,0.0069976867642565,0.192547866332153
Tmem255b,1.74142076789608,-1.32722861838678,4.63865816806936,0.0312594347046165,0.325817797650859
