V1,Control.M.12-CR.M.12_logFC,Control.M.12-CR.M.12_logCPM,Control.M.12-CR.M.12_LR,Control.M.12-CR.M.12_PValue,Control.M.12-CR.M.12_FDR
Plek2,-1.50529626173477,-0.412138147238412,8.59856070019582,0.0033642878191167,0.0480621135624662
Acot2,-1.55171453293777,5.5952339636214,16.2555785649101,5.53463943834092e-05,0.0025602796004392
Acot3,-3.61813450392079,5.25521428588413,19.4394973115063,1.03837264390323e-05,0.0007614415176806
Esrrb,-1.61645600056134,0.29636065450457,18.3156048298469,1.87167726363253e-05,0.0011507935667857
Hhipl1,1.62854561478049,1.02820528786742,5.04162435281138,0.0247452764500748,0.171829726728777
Hsp90aa1,-1.77965679111715,7.54597869468311,27.0265664748438,2.00678314707291e-07,3.73028318477994e-05
Cap2,3.62745029729322,-0.398181064604873,8.53151542419063,0.0034904894976776,0.0493359550043105
Cxcl14,2.11463992751345,0.275403429132113,8.85561106976797,0.0029218928380064,0.0432895077927447
Hapln1,-3.63607439523233,-1.45336678921643,10.8723108328032,0.0009761265926699,0.0202946795259119
Cfap20dc,2.9191002007542,-1.84806690558881,12.3064779734968,0.000451388923996,0.0120064947404339
Amer2,-2.62132817069546,0.183291013931386,14.1528581587006,0.000168540861425,0.0059345687461264
Scara5,2.02822670194856,2.07792398142309,6.07603699757914,0.0137027834475771,0.120028874626284
Sybu,-4.05280788886392,0.705910068791325,29.2029113921786,6.51811904998458e-08,1.46758663567681e-05
Gtse1,1.82051236081728,-0.454574139906359,8.14326569584091,0.0043221373100308,0.0564030098270633
Ttll8,-2.76349868194219,0.111816749687024,10.886246640184,0.000968809511884,0.0202449527542197
Fam83f,-1.78690201555983,1.07192509794123,7.36929641270446,0.0066346887911747,0.0750085820478919
Ly6e,1.50107055660269,7.86492124676771,22.1941824518746,2.46419326372107e-06,0.0002557960617782
Tymp,1.96427852601881,4.45380324197222,31.8232353204689,1.68860557722106e-08,4.9988979180474e-06
Tfrc,-2.88931045213696,4.35782014804623,44.3068478052139,2.8073248944270598e-11,2.4932164312395e-08
Adipoq,-5.10974640766646,-0.321706116924922,6.17624792218703,0.0129476554926264,0.115245668544056
Adamts5,1.66059796444098,1.16430511226008,12.05448795966,0.0005166783819605,0.0132578180000355
Rcan1,-1.54990568915073,4.27471417640445,49.0125100138505,2.5433520072947996e-12,3.1275403991242104e-09
Calcoco1,1.51833669741736,5.36104915010773,64.8352865431226,8.14278306977119e-16,3.2542632538340498e-12
Cyp39a1,-4.37229360188778,4.30435013247077,37.6764737040793,8.35056363392997e-10,4.04521546218196e-07
Tff3,-2.81241713208512,0.284098547095563,5.67943444771045,0.0171648998164263,0.137875817233647
Meiob,1.52978937755277,2.61330823396271,21.0327188352677,4.51506766327171e-06,0.0004148153543969
Cidea,-4.28300084463844,-0.459034676033961,4.06634582468708,0.0437458125385923,0.242988380556614
Ms4a1,2.17238251285339,-1.08473036783532,6.34804401539557,0.0117510791801771,0.107652006747456
Pacs1,1.52987280919726,2.49081932019986,20.8224675342774,5.03883744330036e-06,0.0004450323501027
Cyp26a1,-1.86056264573347,4.09950469774633,8.36068364070239,0.0038342628904528,0.0523884842451102
Pde6c,-2.30559410455378,0.299955749341368,10.1536347395866,0.0014401701090785,0.0262057513011379
Cyp2c55,2.00434870997611,2.25781770428062,7.84285525511311,0.0051021954989872,0.0624545259647048
Bhlhe22,-2.4335658604615,-1.45000717337686,6.5832541996497,0.0102942525244305,0.0989695891542523
Ankrd2,5.99099029365287,-0.978120113471695,14.070951695099,0.0001760416911699,0.0061225093968996
Loxl4,2.60317869233366,-0.039560338821555,10.9975037092872,0.0009123468391881,0.0195244666281955
Hps1,1.73798728715976,2.97809320013352,58.3539654643257,2.1895487328656e-14,5.0003037205127897e-11
Cyp2c23,2.15203134535976,6.63010480238191,5.87680409516943,0.015341644174357,0.129694089778568
Scd3,1.84714800441452,1.82652436620322,5.65263382847033,0.0174291749621053,0.138618303952346
Lmntd2,1.67763691307402,-0.233645395035696,11.5181768286899,0.0006891894975748,0.015967222185842
Hspa4l,-1.79501048468442,3.9677648369186,41.1063537109799,1.44166918860607e-10,9.45911574238475e-08
Npas2,2.56584472294184,0.601277306252361,6.33610354222137,0.0118304485681851,0.108083906728345
Nfasc,1.8753248268043,0.220347642925923,15.812431199526,6.99414733340107e-05,0.0030801222939875
Rgs16,3.16499778710002,6.11508222926783,12.5504890336414,0.0003961026274029,0.011012341915936
Ifi202b,-8.43704968990819,-0.0517843265565183,13.9910295065764,0.0001836849017557,0.0062877662515346
Atf3,-1.99832215992502,0.993037191703775,13.5898359680278,0.000227413500531,0.0073591745333798
Fmo3,-6.27997633891434,6.98498922695574,22.3224483978231,2.30496320016642e-06,0.0002424154060385
Lcn2,3.51294789640242,3.35543109490118,15.9493556382414,6.50599217649435e-05,0.0029190106611559
Nr4a2,2.30513557142845,-0.304461876495275,8.17485899780792,0.0042474970907114,0.0558392175099619
Lhx6,1.76707064227253,1.89915293431807,17.1424055768689,3.46793204828408e-05,0.0017850732891473
Chac1,2.58489136624878,1.39382827821414,12.3796933453971,0.0004340284280318,0.0117092168068892
Fermt1,-1.91761824216307,0.110732110716923,15.2954819157381,9.19361397308806e-05,0.0037301805323295
Prom2,-3.11527427951341,-0.0830065426734765,5.41882201637102,0.0199207957335398,0.150211076733558
Fabp5,3.03232222457088,3.56288680099828,16.1219161935533,5.93927356260002e-05,0.0027127207763349
Chrna4,1.87482167313335,1.44198754803788,4.39825512817508,0.0359757207552383,0.214913255602855
Sypl2,-4.58041844112708,-1.84587119328475,4.70328303605633,0.0301050584893891,0.193669466547902
Asic5,2.42481493497282,3.7920942852225,10.8888286643778,0.0009674599064671,0.0202432121266807
Efna3,1.84854893171276,-1.04838327350068,8.08287557125856,0.00446854833352,0.0575479310777092
Ntrk1,-3.27240021946274,-1.67290171829434,6.85544961029488,0.008837131613977,0.0891858497355036
Rorc,-1.91536760999264,5.92608926062936,55.3103169103763,1.02926945928211e-13,1.49580923418944e-10
Cyp7a1,-2.10498244876157,6.7535086515528,7.96121324705689,0.0047790368971677,0.0601633560803418
Orm3,2.17340111784308,3.6080943088454,8.31976284838564,0.0039216039616672,0.0529138623216077
Gpx7,-2.07157326853308,0.306265592594593,23.5637406634389,1.20843360939466e-06,0.0001568171132612
