V1,Control.F.6-Protandim.F.6_logFC,Control.F.6-Protandim.F.6_logCPM,Control.F.6-Protandim.F.6_LR,Control.F.6-Protandim.F.6_PValue,Control.F.6-Protandim.F.6_FDR
Mfap3l,2.2172162029818,-0.910519933109094,7.14560839101097,0.0075147776683239,0.106404192240554
Pbx4,-3.46753433255864,-1.92864558413363,4.21183290317859,0.0401429388138919,0.23532270622621
Ctrl,-2.16716153177037,-1.25398201914586,5.3414271719553,0.0208244175310548,0.170497589655977
Ctrb1,-9.88809316555299,0.575225686013481,12.3935197854193,0.0004308263799487,0.0286165242794206
Usp2,-2.00414823703974,4.97247296117237,5.19217072952877,0.0226888594833871,0.178204882011855
Rab6b,-2.72506652560591,-1.61426573775327,4.87661214988959,0.0272230004619831,0.195210822758124
Alas1,-1.79194750803138,8.49238126248967,8.91480667411157,0.0028286775523656,0.0674914020180864
BC016579,-3.12920257814157,-2.7645269279397,4.00101266901813,0.0454729350560606,0.249937271317225
Dgkh,1.62545335365101,1.05754030863367,10.1945863647041,0.0014085355166881,0.0479081888718664
Kcne3,1.65575725417423,-1.29627416673825,4.81783209620336,0.0281667499923403,0.198620937528695
Ccr3,-2.46748669258332,-0.333966618337363,6.83693603950329,0.00892918630258,0.115092899067431
Thrsp,-3.28506366495088,7.82472634636244,23.0939994302872,1.54271400717834e-06,0.0020551521765627
Rnase1,-6.15839731181365,-2.42978982457846,6.41959933736149,0.0112867622777677,0.12869485147817
Try5,-7.3974457165873,-1.90399184790734,6.33637958219279,0.0118286075045329,0.132862585216657
Pax1,3.8104072703455,-2.91164526397376,3.95303640065407,0.0467868737888917,0.253365502841878
Mycn,-1.74034706225317,0.254117306122683,6.81328548675488,0.009048213435528,0.115346682599961
Egr2,2.18066816628515,-2.01523174799885,4.18123957705565,0.0408737950894331,0.237689519206867
A4gnt,3.29237879913577,-1.62983185838901,3.9750930734667,0.0461779012506875,0.251601884592192
Enpp6,2.07562505644296,-0.717072833920777,5.31029163308236,0.0211998072940651,0.171517708701533
Egr1,2.00491968575763,4.77975468775314,5.32977945629125,0.0209640377868792,0.170723947050968
Ciart,-3.43547748547515,2.81332353298894,10.2007907225005,0.0014038044800538,0.0479081888718664
Ifi44l,-2.63664252924796,-0.59984760134693,4.17579150736537,0.0410054050653189,0.238087510367703
Rsph4a,1.9286674050239,-0.521819775574264,12.1799589386681,0.0004830570758243,0.030047277875987
Sdk1,-1.50145949819798,-1.25223718583924,6.11593528269751,0.0133968507584112,0.139428422020808
Xaf1,-1.7787598065281,2.26654593336204,9.50807997185028,0.0020456910064358,0.0577931671454453
Snrnp25,-2.25784128599279,2.87523335034311,6.77538865404351,0.0092423363124548,0.116612461160934
Atp1a3,2.31565660754254,-0.962216380151265,4.72988143812434,0.0296429285806195,0.204819732122323
Pla2g5,-4.25246639209587,-0.893298018744496,5.06969593940073,0.0243476540605289,0.183768459778855
Pnliprp1,-5.02109215968981,-1.82373939196294,7.49789982064313,0.0061770986155184,0.0978663017519111
Cux2,-2.3686425044019,3.75657549565302,8.85187585541978,0.0029278782802266,0.0693408328706714
D830044D21Rik,-1.62764283732172,-0.5460733977328,8.10309952184172,0.0044189629015821,0.0841145536207499
Pnlip,-8.43112665359546,-1.07549809471914,7.90528332362716,0.0049290620866368,0.0886344055309065
Ttc34,-4.11920624698784,-1.37931373637719,14.3233107014099,0.0001539467098231,0.0192487328001333
Gprc5a,1.88714814967475,1.20711327023133,5.78003687591118,0.0162092013354384,0.151567564935509
Tmem252,1.62510396660948,0.43478333726354,11.0192976697336,0.0009016822810766,0.0393833140581733
Prss50,-2.71410036075461,-1.0088373510589,15.9031756709103,6.666676325485e-05,0.0128350541732982
Zg16,-6.82535094864721,-2.28607388854209,6.12969684355139,0.0132929662606487,0.139246280138853
Lrrc4,3.99712621822375,-2.42836808954003,8.33841240177243,0.0038815501908882,0.080098521617078
Cd209f,-2.30543326740413,-1.34223673110871,4.73250799040014,0.0295976966761701,0.204819732122323
Cebpe,7.22071634062366,1.52155530167181,7.43915486151563,0.0063819852884431,0.0996283545721137
Kcnt2,1.67195175902504,-0.575351136151994,6.07833917209985,0.0136849369754311,0.140945365342784
Zfp14,-2.2860445750199,-0.613750944267872,5.44660906548322,0.01960634692396,0.165348985656406
Try4,-7.86164051696411,-1.42932597969658,7.43146689526315,0.0064093074515259,0.0996684717121528
Cpa1,-8.22296111288078,-1.21289343937306,8.60334315312607,0.003355464851986,0.0745006404497897
Sytl5,2.69216817507859,-1.61908433284073,8.06484120598162,0.0045132430507892,0.0849808049586768
Kdm5d,3.56303420999054,2.78991431308535,7.2843893595746,0.0069556370434746,0.103382795160351
Prss2,-6.86048373921871,-1.18751948222252,5.53468298984228,0.0186431426069714,0.161266824958685
Xlr3a,-2.56358912841962,1.33413236030035,8.17752564325511,0.0042412574119605,0.0825831193515248
Capn11,6.47279686792311,-0.297493002334897,11.0874269979799,0.000869149952635,0.0385237603458381
Dbp,-2.37464978673531,5.96679013967269,6.09761200798826,0.013536468412815,0.140282858798764
Klk1b22,-6.27017451300633,-2.09346451241342,5.75492355605751,0.0164425110491794,0.152623253058185
Trim5,2.5920811104993,-0.338613657244377,5.57240129461064,0.0182457221472333,0.15929880625105
Ctrc,-6.24604278021247,-2.87953650768128,5.08809975074467,0.0240905749673185,0.183093328323684
Rpl31-ps11,-1.63104467943185,0.256454531604486,6.11790020598609,0.013381966830467,0.139428422020808
Gm10136,-1.7347422447185,2.87986686634906,11.8662349583507,0.0005716085351626,0.0326220610332833
Cyp4a12a,2.53095598848216,7.92483274098774,13.7739334774045,0.000206177160201,0.0220755373668851
Trim12a,8.23108456675076,1.31459564710669,9.87682085294787,0.0016737387896957,0.0529392482771879
Ddx3y,2.90534571287904,4.89777764609589,4.4014807535334,0.0359077401445703,0.224086470322002
Sult3a1,2.61395424881491,5.66211285490086,13.1601571421057,0.0002859649020511,0.0238860658723569
Amy2a1,-6.63858577199343,-2.61878724481725,6.33458067874363,0.0118406106796905,0.132862585216657
Gm10327,1.62863944969461,0.158986175441052,12.2702785489162,0.0004602295704441,0.0293116729606397
H2-Bl,-4.33680646935457,0.711016037355571,16.0805561531978,6.07041235742785e-05,0.0122837483475749
Mup-ps2,-1.50702349382755,1.81973855331105,5.66398499687147,0.0173167346991543,0.156075187072607
Il11ra3,-1.85021956464026,-0.232552537133664,4.95032700478706,0.0260857340162917,0.190874560109375
Gvin3,5.00113117826831,-1.10385780007271,7.58244246245404,0.0058939525471227,0.0964388182377729
Rpl10-ps2,2.03558671393293,0.0732912637883275,4.90669515395714,0.026752780994369,0.193078987348074
Amy2a5,-6.32730732331605,-1.01219672986773,5.58616410883431,0.0181028973779733,0.158658397743575
Sult2a3,-2.46650589831186,4.04813809419021,6.56285805572824,0.0104128993288923,0.124198662238821
Bglap3,-2.21294697775569,-1.28932461222399,4.65693436870286,0.0309283655831563,0.20791457199846
Ism1,-2.6759197705259,-1.55921869549976,6.33024622947269,0.0118695836730507,0.133062527768154
Arrdc3,1.54888523895428,7.03994531533559,7.32349298347572,0.006805900788498,0.102640688683896
Cyp4a12b,1.77254035164593,5.50533515274377,4.01104504408016,0.0452031241853177,0.249644191174781
R3hdml,-2.42474748928827,-1.1819458004146,9.51203443515045,0.0020412872483306,0.0577931671454453
Gm6285,2.89765354385942,-0.47800384643753,4.2780696398938,0.0386071705609373,0.231285116214033
Gm11824,-1.71879633151717,0.937178742435561,6.2710747262824,0.0122724682612817,0.135208599327946
Mup-ps19,2.29888532551196,7.36855098053236,5.61299895331278,0.0178277265343832,0.157864128838889
Gm13586,2.90909908332239,-1.44842899681753,4.22948368138712,0.0397275241347478,0.233830707223151
Gm14405,4.50106007638168,-1.53994887811379,11.6703149556508,0.0006350525862559,0.0335273385384719
Sycn,-5.25360679404742,-2.16805626526352,4.0107094143549,0.0452121233018501,0.249644191174781
