V1,SnellDwarfMiceControl.M-SnellDwarfMice.M_logFC,SnellDwarfMiceControl.M-SnellDwarfMice.M_logCPM,SnellDwarfMiceControl.M-SnellDwarfMice.M_LR,SnellDwarfMiceControl.M-SnellDwarfMice.M_PValue,SnellDwarfMiceControl.M-SnellDwarfMice.M_FDR
Zmynd10,-4.34410900123251,-1.56960397840183,22.9639761660904,1.6506574079239e-06,3.74289493944276e-05
Plcd1,-2.17229360951418,-0.998265453983974,7.54981964231638,0.0060016081146117,0.0352318275459016
Adss1,-1.77073504084703,4.77596044020964,87.6405109088702,7.85002521297707e-21,1.6088526032647599e-18
Mogat1,-1.81920138478265,0.106496150395278,4.40581640682863,0.0358165772130307,0.128579340518192
Iglon5,1.68727492860452,-0.424312248499988,7.81951043572954,0.0051685194468674,0.0314757911914752
Myl2,-8.59769328292848,-0.711334419473353,7.23568833999161,0.0071468404113704,0.0401720783460505
Nol3,-2.50574496376141,-0.319581529598668,17.6046013881714,2.71929592891956e-05,0.0004338389692585
Ptgds,3.28846601155833,1.8599265419339,25.75795228878,3.87029020864652e-07,1.05761468846877e-05
Gadd45b,-3.85697759100548,2.7416627267814,32.7425869627833,1.05206762607464e-08,4.06240412329208e-07
Xk,1.99267638010353,2.2275883264045,45.7508596844047,1.34290404304191e-11,9.21358971333388e-10
C4a,4.91123948843614,7.8646761268036,50.8547417580085,9.94607056847542e-13,7.53544474443829e-11
Lpl,-4.52003265907269,4.74000233842072,48.2492510547645,3.75341539335268e-12,2.70279722874486e-10
Ttbk1,3.29554793671533,0.761059496868064,26.4091007915991,2.7623588959121e-07,7.81576447965501e-06
Steap2,-2.42261944753006,2.86326367242054,33.1177439494331,8.674349753943481e-09,3.43238007837972e-07
Il17rb,-2.03651251944957,3.19733088220548,77.6106867748202,1.25489309561063e-18,2.06811556973521e-16
Celsr1,3.56801858250328,4.47701079730962,56.4467698190753,5.77405005645596e-14,5.27451224014314e-12
Sertad4,2.64276296970611,-1.08829412906402,10.1237516173827,0.0014637076317053,0.0118896103117238
Eef1a2,-3.84002094966628,0.404561598140155,4.53474816096562,0.0332133435315207,0.121766793323169
Dyrk3,4.04208193923672,0.605081336821103,28.0111550835828,1.20618138515952e-07,3.77338857596089e-06
