V1,Control.M.6-CR.M.6_logFC,Control.M.6-CR.M.6_logCPM,Control.M.6-CR.M.6_LR,Control.M.6-CR.M.6_PValue,Control.M.6-CR.M.6_FDR
H19,-5.17168095105481,2.15347200908049,12.2705892305689,0.0004601529570243,0.0153891321568839
Itgb2l,1.80493844739943,0.470643915519654,19.1676013508747,1.19728346834025e-05,0.0012552369041009
Mx1,2.26152963261184,0.0386646593481981,15.9920128387544,6.36102823270586e-05,0.0039877410716876
Vpreb3,-2.46247058598719,-0.674759357712211,18.6384999965296,1.57997415575905e-05,0.0015307555669069
Fndc5,-1.5184672225072,-0.692818831660731,5.73134843173203,0.0166646818551528,0.13812279172688
Gstt3,-1.53549508799962,5.70593511835291,27.7000351619417,1.4166013610357e-07,4.77589670127924e-05
Peg3,1.50483828889753,2.4562935454185,9.93272259421335,0.0016236619701665,0.0336215806412987
Shh,-2.34199160807339,-1.56710830684669,7.84200225353247,0.0051046035897329,0.0706966847054727
Relb,-1.93027970062538,1.05534123306649,21.5384033231744,3.46813498523459e-06,0.0005661638297079
Crhr2,-2.09559300024854,-1.09959128662673,7.11527151034665,0.0076430027665625,0.0887943620830438
Gstm3,-2.18511175352491,5.83783601948952,17.429513020941,2.98160421316267e-05,0.0025086276290325
Cyp2a5,-2.21994880519421,10.74799299718,19.1234474589492,1.22530277825922e-05,0.0012556211675161
Actn3,-5.42595965456192,-0.423462625503956,11.0032630660702,0.0009095162462602,0.0242729995203938
Ihh,1.52844137885582,0.827502412772809,6.65296926183886,0.0098990724196362,0.10340422978612
Prkag3,2.18347307408271,-1.92115624701583,5.03849867833195,0.02478996543691,0.173508050557987
Casq1,-3.73792628723013,-0.786936845795633,5.50084824887121,0.0190072514975117,0.147681983707516
Tcap,-4.74828239278455,0.991922006583594,4.85452611669106,0.0275736872813206,0.182674249846329
Fut1,1.7766368826086,-0.522092194851729,10.2211305424878,0.0013884071920557,0.0307207871858397
Derl3,4.66638847215425,2.13717836655579,24.5254725899713,7.33339100642063e-07,0.0001790175776884
Gnat2,1.5885448579807,-0.518857355201614,8.3871259942414,0.0037788794552063,0.0584793484713728
