V1,Control.M.12-Rapamycin.M.12_logFC,Control.M.12-Rapamycin.M.12_logCPM,Control.M.12-Rapamycin.M.12_LR,Control.M.12-Rapamycin.M.12_PValue,Control.M.12-Rapamycin.M.12_FDR
H19,-7.18022845902105,2.15347200908049,19.9902220172886,7.78391864377543e-06,0.0062216861719697
Ckmt1,-3.54457009337975,-1.96775693285937,9.44653114630919,0.0021154882010604,0.232822647262226
Hk2,-1.8404190303038,0.500450676238283,5.48820694763049,0.0191451679941075,0.658319405331729
Sult5a1,-1.54496018362638,4.09101042023343,5.73089116149038,0.016669021622139,0.622595746849331
Scn4a,-5.80050231160453,-2.11368124967181,8.43644427246096,0.0036777466532995,0.307549724428217
Cnn1,-4.17830283171487,-1.73483671667036,7.78729181131978,0.0052615004443417,0.384065507320764
Ube2c,-1.70485090577188,-0.666094630857162,5.22623108603628,0.0222486920167452,0.711335181159376
Sgca,-5.60238211722109,-2.72917973776437,5.89877402803995,0.0151514274761879,0.600933783182884
Rpl3l,-7.60636142121039,-1.32081618427716,21.0972240230262,4.36560091593841e-06,0.0043617810151369
Jag2,-3.21311015840154,-1.67064017041398,6.24183215372248,0.0124767339076184,0.548330084251636
Epdr1,-3.55547008816502,-1.80339544985879,12.2408369427813,0.0004675485260477,0.0911491553341411
Mapk13,-1.85604525664061,-1.46089417425427,4.18801276089825,0.0407107923469077,0.897333268834835
Nmrk2,-7.75473244846554,-3.03480216197807,5.69480415237098,0.0170152112264553,0.627122896129572
Klf5,-2.94438731268034,-1.38733696662627,10.2335013124737,0.0013791262219565,0.180710752329482
Pvalb,-9.51171818714587,-0.838375547418446,10.9688012566449,0.0009265868004535,0.138156531743593
Hspb7,-9.74291075934298,-0.678138594683482,17.0363883773203,3.66702915106732e-05,0.0188123507328274
Neurl1a,-3.33650370210474,-1.56326864717867,9.25708557129244,0.0023458603570494,0.240390536332007
Actn3,-8.60667039807162,-0.423462625503956,21.5269312016298,3.48894374799634e-06,0.0043073531506939
